,setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
76,76,dummy,3qaPwSJau5W7KiObZmeJCb,0.199,0.0586,2,-20.599,0,0.0384,0.878,0.962,0.0973,0.151,69.165
77,77,dummy,2GAIycsMaDVtMtdvxzR2xI,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883
78,78,dummy,4SNL7CFWoTQ6cjvQkpdnzc,0.56,0.0346,5,-20.737,1,0.0631,0.995,0.925,0.101,0.48,123.22
79,79,dummy,0EHJOhOakEiobXo81vegdy,0.332,0.0525,0,-24.1,1,0.0388,0.991,0.891,0.0683,0.097,78.853
80,80,dummy,7rMDB1bKHO0Sh8oTWWvdsJ,0.267,0.337,2,-9.713,1,0.0339,0.0305,1.9e-05,0.097,0.274,77.945
81,81,dummy,1MIwRUsj23h7cYn6mNiqHw,0.54,0.322,0,-15.317,1,0.0431,0.907,0.859,0.117,0.786,164.799
82,82,dummy,2lwwrWVKdf3LR9lbbhnr6R,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975
83,83,dummy,13P5rwmk2EsoFRIz9UCeh9,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027
84,84,dummy,4kte3OcW800TPvOVgrLLj8,0.658,0.677,5,-6.628,1,0.0393,0.248,0.0,0.368,0.248,124.91
85,85,dummy,0VwNdo84DaVYLIkbVO86ND,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984
86,86,dummy,2Yjv7MOdst5y6fFsq4cKOL,0.208,0.276,9,-14.648,0,0.0293,0.961,0.92,0.129,0.231,177.108
87,87,dummy,2xeqCSNWOe59rGppUKggeF,0.786,0.427,1,-8.015,1,0.0669,6.42e-05,0.537,0.0734,0.42,128.005
88,88,dummy,1vwEwDzfHlcdZssRaVkhEj,0.545,0.847,0,-6.488,1,0.0318,0.00181,0.764,0.231,0.208,126.936
89,89,dummy,7aHXCG5cGPHv4BhSBaciEL,0.312,0.00393,0,-36.36,1,0.0482,0.991,0.898,0.0636,0.22,135.19
90,90,dummy,6uoM7KHsyJsHZqBQHKjQbc,0.525,0.499,0,-9.023,0,0.0246,0.732,0.936,0.0966,0.338,87.989
91,91,dummy,0l58YQ6trzdxO3C9XFczZS,0.385,0.73,2,-7.82,1,0.0409,0.00382,0.00278,0.123,0.36,134.659
92,92,dummy,40xhyfAPDoMtv494MfPevP,0.47,0.792,0,-8.932,1,0.26,0.171,1.28e-06,0.313,0.214,170.085
